Day,Cash On Hand
0,3500000
1,3487400
2,3219680
3,614327
4,442779
5,546954
6,163683
7,265524
8,134489
9,423191
10,183219
11,232301
12,146452
13,348885
14,607028
15,2611487
16,505609
17,553640
18,862297
19,955298
20,1051103
21,868535
22,1028068
23,544577
24,14012
25,2230324
26,2332840
27,7513012
28,4364080
29,3818191
30,5202035
31,3588362
32,3533641
33,4569864
34,4637553
35,5845661
36,4392148
37,3879868
38,4857220
39,6320503
40,4720916
41,3912172
42,4307621
43,4308905
44,4693204
45,4924028
46,5157600
47,5322805
48,5338782
49,5874559
50,5925892
51,4209503
52,2476361
53,4001410
54,4377373
55,4869548
56,5070175
57,5804123
58,6297431
59,6768304
60,7406089
61,7370952
62,7467160
63,7558592
64,7989474
65,8021804
66,8291400
67,8381019
68,8603828
69,8644914
70,6735492
71,7238171
72,7593261
73,8134473
74,8209685
75,8682661
76,9173278
77,7848997
78,5973896
79,7469310
80,8789285
81,9299864
82,10861731
83,13012034
84,14519699
85,16044388
86,16084280
87,15560765
88,15642011
89,15038335
90,18024665
